Title,English_Title,Episodes,Min_Per_Ep,Season,Start_Date,End_Date,Studios,Source,Genres,Themes,Demographic,Rating,Score,Users,Members,Insert_Time
Metal Cardbot,Metal Cardbot,26.0,13.0,Spring 2023,2023-03-30,2023-09-13,,Other,"['Action', 'Sci-Fi']",,Kids,PG - Children,,,79,2023-12-31 17:18:49.916943
Shuwawan!,,,5.0,Spring 2023,2023-03-22,,['KOO-KI'],Original,['Slice of Life'],['Childcare'],,G - All Ages,,,73,2023-12-31 17:18:55.529214
Pantie Hero,Pantie Hero,26.0,11.0,Spring 2023,2023-04-25,2023-12-05,,Original,['Comedy'],,Kids,PG - Children,,,72,2023-12-31 17:19:01.260979
Nae Maeumeun Muji,,26.0,5.0,Spring 2023,2023-04-01,2023-05-13,,Original,['Comedy'],,Kids,PG - Children,,,69,2023-12-31 17:19:06.993165
Vinland Saga Season 2,Vinland Saga Season 2,24.0,25.0,Winter 2023,2023-01-10,2023-06-20,['MAPPA'],Manga,"['Action', 'Adventure', 'Drama']","['Gore', 'Historical']",Seinen,R - 17+ (violence & profanity),8.8,265654.0,546222,2023-12-31 17:19:13.100084
Tomo-chan wa Onnanoko!,Tomo-chan Is a Girl!,13.0,23.0,Winter 2023,2023-01-05,2023-03-30,['Lay-duce'],Web manga,"['Comedy', 'Romance']",['School'],,PG-13 - Teens 13 or older,7.81,183883.0,361029,2023-12-31 17:19:19.056438
Tokyo Revengers: Seiya Kessen-hen,Tokyo Revengers: Christmas Showdown,13.0,23.0,Winter 2023,2023-01-08,2023-04-02,['LIDENFILMS'],Manga,"['Action', 'Drama', 'Supernatural']","['Delinquents', 'Time Travel']",Shounen,R - 17+ (violence & profanity),7.68,133689.0,330614,2023-12-31 17:19:25.042433
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",The Misfit of Demon King Academy Ⅱ,12.0,23.0,Winter 2023,2023-01-08,2023-09-24,['SILVER LINK.'],Light novel,"['Action', 'Fantasy']","['Mythology', 'Reincarnation', 'School']",,R - 17+ (violence & profanity),6.92,77543.0,314789,2023-12-31 17:19:31.323688
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,The Angel Next Door Spoils Me Rotten,12.0,23.0,Winter 2023,2023-01-07,2023-03-25,['Project No.9'],Light novel,['Romance'],['School'],,PG-13 - Teens 13 or older,7.81,147321.0,281982,2023-12-31 17:19:37.459662
Bungou Stray Dogs 4th Season,Bungo Stray Dogs 4,13.0,23.0,Winter 2023,2023-01-04,2023-03-29,['Bones'],Manga,"['Action', 'Mystery', 'Supernatural']","['Adult Cast', 'Detective', 'Organized Crime', 'Super Power']",Seinen,R - 17+ (violence & profanity),8.45,95883.0,267149,2023-12-31 17:19:43.374272
"Ijiranaide, Nagatoro-san 2nd Attack","Don't Toy with Me, Miss Nagatoro 2nd Attack",12.0,23.0,Winter 2023,2023-01-08,2023-03-26,['OLM'],Web manga,['Comedy'],"['Romantic Subtext', 'School']",,PG-13 - Teens 13 or older,7.49,103820.0,266005,2023-12-31 17:19:49.578871
NieR:Automata Ver1.1a,,12.0,23.0,Winter 2023,2023-01-08,2023-07-23,['A-1 Pictures'],Game,"['Action', 'Fantasy', 'Sci-Fi']",,,PG-13 - Teens 13 or older,7.52,62792.0,262900,2023-12-31 17:19:55.376305
Buddy Daddies,,12.0,24.0,Winter 2023,2023-01-07,2023-04-01,['P.A. Works'],Original,"['Action', 'Comedy']","['Childcare', 'Organized Crime']",,PG-13 - Teens 13 or older,8.14,105888.0,247128,2023-12-31 17:20:01.536036
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 2",12.0,23.0,Winter 2023,2023-01-11,2023-04-20,['SILVER LINK.'],Light novel,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Video Game'],,PG-13 - Teens 13 or older,7.2,69131.0,217517,2023-12-31 17:20:07.662709
Tondemo Skill de Isekai Hourou Meshi,Campfire Cooking in Another World with My Absurd Skill,12.0,23.0,Winter 2023,2023-01-11,2023-03-29,['MAPPA'],Light novel,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",['Isekai'],,PG-13 - Teens 13 or older,7.67,105970.0,199974,2023-12-31 17:20:13.481871
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,11.0,24.0,Winter 2023,2023-01-07,2023-03-18,['J.C.Staff'],Light novel,"['Action', 'Adventure', 'Fantasy']",,,R - 17+ (violence & profanity),8.23,100112.0,194346,2023-12-31 17:20:19.345454
Koori Zokusei Danshi to Cool na Douryou Joshi,The Ice Guy and His Cool Female Colleague,12.0,23.0,Winter 2023,2023-01-04,2023-03-22,"['Zero-G', 'Liber']",Web manga,"['Comedy', 'Fantasy', 'Romance']","['Adult Cast', 'Mythology', 'Workplace']",,PG-13 - Teens 13 or older,7.33,75187.0,188688,2023-12-31 17:20:25.477604
Saikyou Onmyouji no Isekai Tenseiki,The Reincarnation of the Strongest Exorcist in Another World,13.0,23.0,Winter 2023,2023-01-07,2023-04-01,['Studio Blanc.'],Light novel,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,7.17,99190.0,187436,2023-12-31 17:20:31.326220
Kubo-san wa Mob wo Yurusanai,Kubo Won't Let Me Be Invisible,12.0,24.0,Winter 2023,2023-01-10,2023-06-20,['PINE JAM'],Manga,"['Comedy', 'Romance']",['School'],Seinen,PG-13 - Teens 13 or older,7.57,67940.0,183778,2023-12-31 17:20:37.424272
Isekai Nonbiri Nouka,Farming Life in Another World,12.0,23.0,Winter 2023,2023-01-06,2023-03-24,['Zero-G'],Light novel,"['Fantasy', 'Slice of Life']",['Isekai'],,PG-13 - Teens 13 or older,7.57,93456.0,183447,2023-12-31 17:20:43.490012
Tensei Oujo to Tensai Reijou no Mahou Kakumei,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,12.0,23.0,Winter 2023,2023-01-04,2023-03-22,['Diomedéa'],Light novel,"['Fantasy', 'Girls Love']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,7.49,83532.0,174095,2023-12-31 17:20:49.699126
Trigun Stampede,Trigun Stampede,12.0,23.0,Winter 2023,2023-01-07,2023-03-25,['Orange'],Manga,"['Action', 'Adventure', 'Sci-Fi']",['Adult Cast'],Shounen,PG-13 - Teens 13 or older,7.84,60442.0,165456,2023-12-31 17:20:55.694711
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,12.0,23.0,Winter 2023,2023-01-10,2023-03-28,['Geek Toys'],Light novel,"['Action', 'Adventure', 'Fantasy']",,,PG-13 - Teens 13 or older,6.33,64691.0,154342,2023-12-31 17:21:01.522577
"Benriya Saitou-san, Isekai ni Iku",Handyman Saitou in Another World,12.0,23.0,Winter 2023,2023-01-08,2023-03-26,['C2C'],Web manga,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],,R - 17+ (violence & profanity),7.44,72295.0,152598,2023-12-31 17:21:07.588833
Kyokou Suiri Season 2,In/Spectre 2,12.0,25.0,Winter 2023,2023-01-09,2023-03-27,"[""Brain's Base""]",Manga,"['Mystery', 'Romance', 'Supernatural']","['Adult Cast', 'Mythology']",Shounen,R - 17+ (violence & profanity),7.35,40191.0,148752,2023-12-31 17:21:13.605223
Hyouken no Majutsushi ga Sekai wo Suberu,The Iceblade Sorcerer Shall Rule the World,12.0,24.0,Winter 2023,2023-01-06,2023-03-24,['Cloud Hearts'],Light novel,"['Action', 'Fantasy']",['School'],,PG-13 - Teens 13 or older,6.35,71351.0,146958,2023-12-31 17:21:19.508552
Spy Kyoushitsu,Spy Classroom,12.0,23.0,Winter 2023,2023-01-05,2023-03-30,['feel.'],Light novel,"['Action', 'Fantasy', 'Mystery']",,,PG-13 - Teens 13 or older,6.39,38954.0,138541,2023-12-31 17:21:25.243167
Oniichan wa Oshimai!,Onimai: I'm Now Your Sister!,12.0,23.0,Winter 2023,2023-01-05,2023-03-23,['Studio Bind'],Manga,['Comedy'],"['CGDCT', 'Magical Sex Shift', 'School']",Shounen,PG-13 - Teens 13 or older,7.68,63512.0,136115,2023-12-31 17:21:31.151737
"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",Reborn to Master the Blade: From Hero-King to Extraordinary Squire ♀,12.0,23.0,Winter 2023,2023-01-10,2023-03-28,['Studio Comet'],Light novel,"['Action', 'Fantasy']",['Reincarnation'],,PG-13 - Teens 13 or older,6.56,61809.0,133391,2023-12-31 17:21:37.296440
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,Chillin' in My 30s after Getting Fired from the Demon King's Army,12.0,23.0,Winter 2023,2023-01-07,2023-03-25,['Encourage Films'],Light novel,['Fantasy'],,,PG-13 - Teens 13 or older,7.04,65304.0,131626,2023-12-31 17:21:43.205961
Inu ni Nattara Suki na Hito ni Hirowareta.,My Life as Inukai-san's Dog.,12.0,12.0,Winter 2023,2023-01-07,2023-03-25,['Quad'],Web manga,"['Comedy', 'Ecchi']",,,R+ - Mild Nudity,5.08,42143.0,109125,2023-12-31 17:21:49.264295
Kami-tachi ni Hirowareta Otoko 2nd Season,By the Grace of the Gods 2,12.0,23.0,Winter 2023,2023-01-09,2023-03-27,['Maho Film'],Light novel,"['Fantasy', 'Slice of Life']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,6.78,41326.0,104994,2023-12-31 17:21:55.388336
Sugar Apple Fairy Tale,,12.0,22.0,Winter 2023,2023-01-06,2023-03-24,['J.C.Staff'],Light novel,"['Adventure', 'Drama', 'Fantasy', 'Romance']",['Visual Arts'],Shoujo,PG-13 - Teens 13 or older,7.44,40161.0,100046,2023-12-31 17:22:02.286824
High Card,,12.0,23.0,Winter 2023,2023-01-09,2023-03-27,['Studio Hibari'],Mixed media,"['Action', 'Fantasy']","['Adult Cast', 'Organized Crime', 'Super Power']",,R - 17+ (violence & profanity),7.15,31445.0,97871,2023-12-31 17:22:08.456220
Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"The Fruit of Evolution: Before I Knew It, My Life Had It Made Season 2",12.0,23.0,Winter 2023,2023-01-14,2023-04-01,['Hotline'],Light novel,"['Adventure', 'Fantasy', 'Romance']","['Harem', 'Isekai']",,PG-13 - Teens 13 or older,5.42,36099.0,91952,2023-12-31 17:22:14.611341
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,12.0,24.0,Winter 2023,2023-01-07,2023-03-25,['Tezuka Productions'],Light novel,"['Comedy', 'Fantasy', 'Romance']",['Video Game'],,PG-13 - Teens 13 or older,7.22,30784.0,83415,2023-12-31 17:22:21.057708
Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,"Saving 80,000 Gold in Another World for My Retirement",12.0,23.0,Winter 2023,2023-01-08,2023-03-26,['Felix Film'],Light novel,['Fantasy'],['Isekai'],,PG-13 - Teens 13 or older,6.94,41132.0,82879,2023-12-31 17:22:27.398939
Revenger,,12.0,23.0,Winter 2023,2023-01-05,2023-03-23,['Ajia-do'],Original,"['Action', 'Drama', 'Mystery']","['Adult Cast', 'Historical', 'Organized Crime', 'Samurai']",,R - 17+ (violence & profanity),6.67,24773.0,73819,2023-12-31 17:22:33.584690
Ayakashi Triangle,,12.0,23.0,Winter 2023,2023-01-10,2023-09-26,['Connect'],Manga,"['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Magical Sex Shift', 'Mythology']",Shounen,R+ - Mild Nudity,6.45,14891.0,64033,2023-12-31 17:22:39.659197
Mononogatari,Malevolent Spirits: Mononogatari,12.0,23.0,Winter 2023,2023-01-10,2023-03-28,['Bandai Namco Pictures'],Manga,"['Action', 'Fantasy']","['Adult Cast', 'Mythology']",Seinen,PG-13 - Teens 13 or older,7.26,21333.0,60628,2023-12-31 17:22:45.423282
Tsurune: Tsunagari no Issha,Tsurune - The Linking Shot -,13.0,23.0,Winter 2023,2023-01-05,2023-03-30,['Kyoto Animation'],Light novel,['Sports'],['School'],,PG-13 - Teens 13 or older,8.1,14247.0,51235,2023-12-31 17:22:51.479293
Ooyukiumi no Kaina,Kaina of the Great Snow Sea,11.0,22.0,Winter 2023,2023-01-12,2023-03-23,['Polygon Pictures'],Mixed media,"['Fantasy', 'Suspense']",['Survival'],,PG-13 - Teens 13 or older,6.66,13228.0,45920,2023-12-31 17:22:57.514021
Ars no Kyojuu,Giant Beasts of Ars,12.0,24.0,Winter 2023,2023-01-07,2023-03-25,['Asahi Production'],Original,"['Action', 'Adventure', 'Fantasy']",,,PG-13 - Teens 13 or older,6.09,12931.0,41634,2023-12-31 17:23:03.684902
Hikari no Ou,The Fire Hunter,10.0,24.0,Winter 2023,2023-01-14,2023-03-18,['Signal.MD'],Light novel,['Fantasy'],,,PG-13 - Teens 13 or older,6.37,11394.0,41418,2023-12-31 17:23:09.487728
Nokemono-tachi no Yoru,The Tale of Outcasts,13.0,23.0,Winter 2023,2023-01-08,2023-04-02,['Ashi Productions'],Manga,"['Action', 'Fantasy']","['Anthropomorphic', 'Historical']",Shounen,PG-13 - Teens 13 or older,6.59,11881.0,39062,2023-12-31 17:23:15.564158
The Legend of Heroes: Sen no Kiseki - Northern War,The Legend of Heroes: Trails of Cold Steel - Northern War,12.0,23.0,Winter 2023,2023-01-08,2023-03-26,['Tatsunoko Production'],Game,"['Action', 'Fantasy']",['Military'],,PG-13 - Teens 13 or older,5.66,8640.0,33830,2023-12-31 17:23:21.401478
Kyuuketsuki Sugu Shinu 2,The Vampire Dies in No Time Season 2,12.0,23.0,Winter 2023,2023-01-09,2023-03-27,['Madhouse'],Manga,"['Comedy', 'Supernatural']","['Adult Cast', 'Gag Humor', 'Vampire']",Shounen,PG-13 - Teens 13 or older,7.44,10807.0,31059,2023-12-31 17:23:27.284741
Pokemon: Mezase Pokemon Master,Pokémon: To Be a Pokémon Master,11.0,24.0,Winter 2023,2023-01-13,2023-03-24,['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,Kids,PG - Children,7.56,9569.0,21649,2023-12-31 17:23:33.171586
Mou Ippon!,"""Ippon"" again!",13.0,23.0,Winter 2023,2023-01-09,2023-04-03,['Bakken Record'],Manga,['Sports'],"['Combat Sports', 'School']",Shounen,PG-13 - Teens 13 or older,7.15,7160.0,21614,2023-12-31 17:23:38.901091
Majutsushi Orphen Hagure Tabi: Urbanrama-hen,Sorcerous Stabber Orphen -Chaos in Urbanrama-,12.0,23.0,Winter 2023,2023-01-18,2023-04-05,['Studio Deen'],Light novel,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Martial Arts'],,PG-13 - Teens 13 or older,6.14,2665.0,14780,2023-12-31 17:23:44.740423
Technoroid: Overmind,,12.0,24.0,Winter 2023,2023-01-05,2023-03-30,['Doga Kobo'],Mixed media,"['Mystery', 'Sci-Fi']","['Idols (Male)', 'Music']",,PG-13 - Teens 13 or older,6.51,3160.0,14186,2023-12-31 17:23:50.580332
D4DJ All Mix,,12.0,23.0,Winter 2023,2023-01-13,2023-03-31,['SANZIGEN'],Mixed media,,"['Idols (Female)', 'Music', 'School']",,PG-13 - Teens 13 or older,7.41,4494.0,12538,2023-12-31 17:23:56.522755
Nijiyon Animation,Nijiyon Animation,12.0,3.0,Winter 2023,2023-01-06,2023-03-24,['Sunrise'],4-koma manga,['Comedy'],"['CGDCT', 'Idols (Female)']",,PG-13 - Teens 13 or older,6.81,4345.0,11356,2023-12-31 17:24:02.550010
UniteUp!,,12.0,24.0,Winter 2023,2023-01-07,2023-04-15,['CloverWorks'],Music,['Slice of Life'],"['Idols (Male)', 'Music']",,PG-13 - Teens 13 or older,7.02,2708.0,9089,2023-12-31 17:24:08.415307
Hirogaru Sky! Precure,Soaring Sky! Pretty Cure,,24.0,Winter 2023,2023-02-05,,['Toei Animation'],Original,"['Action', 'Fantasy']",['Mahou Shoujo'],,G - All Ages,7.63,1674.0,8442,2023-12-31 17:24:14.127565
Boku to Roboko,Me & Roboco,28.0,3.0,Winter 2023,2022-12-05,2023-06-19,['Gallop'],Manga,"['Comedy', 'Sci-Fi']",['Gag Humor'],Shounen,PG-13 - Teens 13 or older,6.77,2293.0,7366,2023-12-31 17:24:19.849532
Flaglia: Natsuyasumi no Monogatari,,6.0,13.0,Winter 2023,2023-01-17,2023-01-31,['Gaina'],Mixed media,['Fantasy'],,,PG-13 - Teens 13 or older,5.12,244.0,4528,2023-12-31 17:24:26.141289
Cardfight!! Vanguard: will+Dress Season 2,,12.0,24.0,Winter 2023,2023-01-14,2023-04-01,"['Kinema Citrus', 'GIFTanimation', 'Studio Jemi']",Original,['Action'],['Strategy Game'],,PG-13 - Teens 13 or older,6.73,1035.0,4227,2023-12-31 17:24:31.945289
KJ File 2nd Season,KJ File 2nd Season,13.0,5.0,Winter 2023,2023-01-09,2023-04-03,"['ILCA', 'yell']",Original,"['Action', 'Sci-Fi']",,,PG-13 - Teens 13 or older,5.38,133.0,1763,2023-12-31 17:24:37.552048
Yomawari Neko,,15.0,5.0,Winter 2023,2023-03-21,2023-03-27,['Shogakukan Music & Digital Entertainment'],Web manga,['Slice of Life'],['Anthropomorphic'],,PG-13 - Teens 13 or older,,,632,2023-12-31 17:24:43.171193
Chuldong! Super Wings 7,Super Wings 7,40.0,11.0,Winter 2023,2023-02-27,2023-07-11,,Original,['Adventure'],['Racing'],Kids,PG - Children,,,87,2023-12-31 17:24:48.832058
Heart Cocktail Colorful: Haru-hen,,5.0,5.0,Winter 2023,2023-03-28,2023-03-29,,Manga,['Romance'],,Seinen,PG-13 - Teens 13 or older,,,82,2023-12-31 17:24:54.491679
Lindaui Singihan Yeohaeng 2,The Curious World of Linda 2,,14.0,Winter 2023,2022-12-25,,,Original,['Adventure'],,Kids,PG - Children,,,81,2023-12-31 17:25:00.147388
Cricket Pang Season 2,,,,Winter 2023,2023-01-13,,,Original,['Comedy'],,Kids,PG - Children,,,76,2023-12-31 17:25:05.753952
Nae Chingu Baninbaneo,,13.0,12.0,Winter 2023,2022-12-28,2023-03-22,,Original,"['Adventure', 'Fantasy']",['Super Power'],Kids,PG - Children,,,72,2023-12-31 17:25:11.517528
Ppungppungppangppang Bubumaen,,26.0,11.0,Winter 2023,2023-02-27,2023-05-23,,Original,['Comedy'],['Super Power'],Kids,G - All Ages,,,72,2023-12-31 17:25:17.147077
